geo_accession,characteristics_ch1.5.tissue subtype,Phenotype
GSM1559691,non-tumor cirrhosis,Cirrhosis
GSM1559692,primary hepatocellular carcinoma,HCC
GSM1559693,primary hepatocellular carcinoma,HCC
GSM1559694,non-tumor cirrhosis,Cirrhosis
GSM1559695,primary hepatocellular carcinoma,HCC
GSM1559696,primary hepatocellular carcinoma,HCC
GSM1559697,primary hepatocellular carcinoma,HCC
GSM1559698,non-tumor cirrhosis,Cirrhosis
GSM1559699,primary hepatocellular carcinoma,HCC
GSM1559700,non-tumor cirrhosis,Cirrhosis
GSM1559701,primary hepatocellular carcinoma,HCC
GSM1559702,non-tumor cirrhosis,Cirrhosis
GSM1559703,primary hepatocellular carcinoma,HCC
GSM1559704,non-tumor cirrhosis,Cirrhosis
GSM1559705,primary hepatocellular carcinoma,HCC
GSM1559706,non-tumor cirrhosis,Cirrhosis
GSM1559707,primary hepatocellular carcinoma,HCC
GSM1559708,primary hepatocellular carcinoma,HCC
GSM1559709,non-tumor cirrhosis,Cirrhosis
GSM1559710,primary hepatocellular carcinoma,HCC
GSM1559711,non-tumor cirrhosis,Cirrhosis
GSM1559712,primary hepatocellular carcinoma,HCC
GSM1559713,primary hepatocellular carcinoma,HCC
GSM1559714,primary hepatocellular carcinoma,HCC
GSM1559715,primary hepatocellular carcinoma,HCC
GSM1559716,non-tumor cirrhosis,Cirrhosis
GSM1559717,primary hepatocellular carcinoma,HCC
GSM1559718,non-tumor cirrhosis,Cirrhosis
GSM1559719,primary hepatocellular carcinoma,HCC
GSM1559720,primary hepatocellular carcinoma,HCC
GSM1559721,non-tumor cirrhosis,Cirrhosis
GSM1559722,primary hepatocellular carcinoma,HCC
GSM1559723,non-tumor cirrhosis,Cirrhosis
GSM1559724,primary hepatocellular carcinoma,HCC
GSM1559725,primary hepatocellular carcinoma,HCC
GSM1559726,non-tumor cirrhosis,Cirrhosis
GSM1559727,primary hepatocellular carcinoma,HCC
GSM1559728,non-tumor cirrhosis,Cirrhosis
GSM1559729,primary hepatocellular carcinoma,HCC
GSM1559730,primary hepatocellular carcinoma,HCC
GSM1559731,non-tumor cirrhosis,Cirrhosis
GSM1559732,primary hepatocellular carcinoma,HCC
GSM1559733,non-tumor cirrhosis,Cirrhosis
GSM1559734,primary hepatocellular carcinoma,HCC
GSM1559735,non-tumor cirrhosis,Cirrhosis
GSM1559736,primary hepatocellular carcinoma,HCC
GSM1559737,non-tumor cirrhosis,Cirrhosis
GSM1559738,primary hepatocellular carcinoma,HCC
GSM1559739,primary hepatocellular carcinoma,HCC
GSM1559740,non-tumor cirrhosis,Cirrhosis
GSM1559741,primary hepatocellular carcinoma,HCC
GSM1559742,primary hepatocellular carcinoma,HCC
GSM1559743,non-tumor cirrhosis,Cirrhosis
GSM1559744,primary hepatocellular carcinoma,HCC
GSM1559745,non-tumor cirrhosis,Cirrhosis
GSM1559746,primary hepatocellular carcinoma,HCC
GSM1559747,non-tumor cirrhosis,Cirrhosis
GSM1559748,primary hepatocellular carcinoma,HCC
GSM1559749,non-tumor cirrhosis,Cirrhosis
GSM1559750,primary hepatocellular carcinoma,HCC
GSM1559751,non-tumor cirrhosis,Cirrhosis
GSM1559752,primary hepatocellular carcinoma,HCC
GSM1559753,non-tumor cirrhosis,Cirrhosis
GSM1559754,primary hepatocellular carcinoma,HCC
GSM1559755,primary hepatocellular carcinoma,HCC
GSM1559756,primary hepatocellular carcinoma,HCC
GSM1559757,non-tumor cirrhosis,Cirrhosis
GSM1559758,primary hepatocellular carcinoma,HCC
GSM1559759,non-tumor cirrhosis,Cirrhosis
GSM1559760,primary hepatocellular carcinoma,HCC
GSM1559761,primary hepatocellular carcinoma,HCC
GSM1559762,non-tumor cirrhosis,Cirrhosis
GSM1559763,primary hepatocellular carcinoma,HCC
GSM1559764,primary hepatocellular carcinoma,HCC
GSM1559765,non-tumor cirrhosis,Cirrhosis
GSM1559766,primary hepatocellular carcinoma,HCC
GSM1559767,non-tumor cirrhosis,Cirrhosis
GSM1559768,primary hepatocellular carcinoma,HCC
GSM1559769,non-tumor cirrhosis,Cirrhosis
GSM1559770,primary hepatocellular carcinoma,HCC
GSM1559771,non-tumor cirrhosis,Cirrhosis
GSM1559772,primary hepatocellular carcinoma,HCC
GSM1559773,non-tumor cirrhosis,Cirrhosis
GSM1559774,primary hepatocellular carcinoma,HCC
GSM1559775,primary hepatocellular carcinoma,HCC
GSM1559776,non-tumor cirrhosis,Cirrhosis
GSM1559777,primary hepatocellular carcinoma,HCC
GSM1559778,non-tumor cirrhosis,Cirrhosis
GSM1559779,primary hepatocellular carcinoma,HCC
GSM1559780,non-tumor cirrhosis,Cirrhosis
GSM1559781,primary hepatocellular carcinoma,HCC
GSM1559782,non-tumor cirrhosis,Cirrhosis
GSM1559783,non-tumor cirrhosis,Cirrhosis
GSM1559784,primary hepatocellular carcinoma,HCC
GSM1559785,primary hepatocellular carcinoma,HCC
GSM1559786,non-tumor cirrhosis,Cirrhosis
GSM1559787,primary hepatocellular carcinoma,HCC
GSM1559788,primary hepatocellular carcinoma,HCC
GSM1559789,non-tumor cirrhosis,Cirrhosis
GSM1559790,primary hepatocellular carcinoma,HCC
GSM1559791,non-tumor cirrhosis,Cirrhosis
GSM1559792,primary hepatocellular carcinoma,HCC
GSM1559793,non-tumor cirrhosis,Cirrhosis
GSM1559794,primary hepatocellular carcinoma,HCC
GSM1559795,non-tumor cirrhosis,Cirrhosis
GSM1559796,primary hepatocellular carcinoma,HCC
GSM1559797,non-tumor cirrhosis,Cirrhosis
GSM1559798,primary hepatocellular carcinoma,HCC
GSM1559799,primary hepatocellular carcinoma,HCC
GSM1559800,primary hepatocellular carcinoma,HCC
GSM1559801,non-tumor cirrhosis,Cirrhosis
GSM1559802,primary hepatocellular carcinoma,HCC
GSM1559803,primary hepatocellular carcinoma,HCC
GSM1559804,non-tumor cirrhosis,Cirrhosis
GSM1559805,primary hepatocellular carcinoma,HCC
GSM1559806,non-tumor cirrhosis,Cirrhosis
GSM1559807,primary hepatocellular carcinoma,HCC
GSM1559808,non-tumor cirrhosis,Cirrhosis
GSM1559809,primary hepatocellular carcinoma,HCC
GSM1559810,non-tumor cirrhosis,Cirrhosis
GSM1559811,primary hepatocellular carcinoma,HCC
GSM1559812,primary hepatocellular carcinoma,HCC
GSM1559813,primary hepatocellular carcinoma,HCC
GSM1559814,primary hepatocellular carcinoma,HCC
GSM1559815,primary hepatocellular carcinoma,HCC
GSM1559816,non-tumor cirrhosis,Cirrhosis
GSM1559817,primary hepatocellular carcinoma,HCC
GSM1559818,non-tumor cirrhosis,Cirrhosis
GSM1559819,primary hepatocellular carcinoma,HCC
GSM1559820,non-tumor cirrhosis,Cirrhosis
GSM1559821,primary hepatocellular carcinoma,HCC
GSM1559822,non-tumor cirrhosis,Cirrhosis
GSM1559823,primary hepatocellular carcinoma,HCC
GSM1559824,non-tumor cirrhosis,Cirrhosis
GSM1559825,primary hepatocellular carcinoma,HCC
GSM1559826,non-tumor cirrhosis,Cirrhosis
GSM1559827,primary hepatocellular carcinoma,HCC
GSM1559828,non-tumor cirrhosis,Cirrhosis
GSM1559829,primary hepatocellular carcinoma,HCC
GSM1559830,non-tumor cirrhosis,Cirrhosis
GSM1559831,primary hepatocellular carcinoma,HCC
GSM1559832,non-tumor cirrhosis,Cirrhosis
GSM1559833,primary hepatocellular carcinoma,HCC
GSM1559834,non-tumor cirrhosis,Cirrhosis
GSM1559835,primary hepatocellular carcinoma,HCC
GSM1559836,non-tumor cirrhosis,Cirrhosis
GSM1559837,primary hepatocellular carcinoma,HCC
GSM1559838,primary hepatocellular carcinoma,HCC
GSM1559839,non-tumor cirrhosis,Cirrhosis
GSM1559840,primary hepatocellular carcinoma,HCC
GSM1559841,non-tumor cirrhosis,Cirrhosis
GSM1559842,primary hepatocellular carcinoma,HCC
GSM1559843,primary hepatocellular carcinoma,HCC
GSM1559844,non-tumor cirrhosis,Cirrhosis
GSM1559845,primary hepatocellular carcinoma,HCC
GSM1559846,primary hepatocellular carcinoma,HCC
GSM1559847,primary hepatocellular carcinoma,HCC
GSM1559848,primary hepatocellular carcinoma,HCC
GSM1559849,primary hepatocellular carcinoma,HCC
GSM1559850,primary hepatocellular carcinoma,HCC
GSM1559851,non-tumor cirrhosis,Cirrhosis
GSM1559852,primary hepatocellular carcinoma,HCC
GSM1559853,non-tumor cirrhosis,Cirrhosis
GSM1559854,primary hepatocellular carcinoma,HCC
GSM1559855,non-tumor cirrhosis,Cirrhosis
GSM1559856,primary hepatocellular carcinoma,HCC
GSM1559857,non-tumor cirrhosis,Cirrhosis
GSM1559858,primary hepatocellular carcinoma,HCC
GSM1559859,non-tumor cirrhosis,Cirrhosis
GSM1559860,primary hepatocellular carcinoma,HCC
GSM1559861,non-tumor cirrhosis,Cirrhosis
GSM1559862,primary hepatocellular carcinoma,HCC
GSM1559863,non-tumor cirrhosis,Cirrhosis
GSM1559864,primary hepatocellular carcinoma,HCC
GSM1559865,non-tumor cirrhosis,Cirrhosis
GSM1559866,primary hepatocellular carcinoma,HCC
GSM1559867,non-tumor cirrhosis,Cirrhosis
GSM1559868,primary hepatocellular carcinoma,HCC
GSM1559869,non-tumor cirrhosis,Cirrhosis
GSM1559870,primary hepatocellular carcinoma,HCC
GSM1559871,non-tumor cirrhosis,Cirrhosis
GSM1559872,primary hepatocellular carcinoma,HCC
GSM1559873,primary hepatocellular carcinoma,HCC
GSM1559874,primary hepatocellular carcinoma,HCC
GSM1559875,non-tumor cirrhosis,Cirrhosis
GSM1559876,primary hepatocellular carcinoma,HCC
GSM1559877,primary hepatocellular carcinoma,HCC
GSM1559878,non-tumor cirrhosis,Cirrhosis
GSM1559879,primary hepatocellular carcinoma,HCC
GSM1559880,primary hepatocellular carcinoma,HCC
GSM1559881,non-tumor cirrhosis,Cirrhosis
GSM1559882,primary hepatocellular carcinoma,HCC
GSM1559883,non-tumor cirrhosis,Cirrhosis
GSM1559884,primary hepatocellular carcinoma,HCC
GSM1559885,primary hepatocellular carcinoma,HCC
GSM1559886,primary hepatocellular carcinoma,HCC
GSM1559887,primary hepatocellular carcinoma,HCC
GSM1559888,non-tumor cirrhosis,Cirrhosis
GSM1559889,primary hepatocellular carcinoma,HCC
GSM1559890,primary hepatocellular carcinoma,HCC
GSM1559891,non-tumor cirrhosis,Cirrhosis
GSM1559892,primary hepatocellular carcinoma,HCC
GSM1559893,primary hepatocellular carcinoma,HCC
GSM1559894,non-tumor cirrhosis,Cirrhosis
GSM1559895,primary hepatocellular carcinoma,HCC
GSM1559896,non-tumor cirrhosis,Cirrhosis
GSM1559897,primary hepatocellular carcinoma,HCC
GSM1559898,non-tumor cirrhosis,Cirrhosis
GSM1559899,primary hepatocellular carcinoma,HCC
GSM1559900,non-tumor cirrhosis,Cirrhosis
GSM1559901,primary hepatocellular carcinoma,HCC
GSM1559902,non-tumor cirrhosis,Cirrhosis
GSM1559903,primary hepatocellular carcinoma,HCC
GSM1559904,non-tumor cirrhosis,Cirrhosis
GSM1559905,primary hepatocellular carcinoma,HCC
GSM1559906,non-tumor cirrhosis,Cirrhosis
GSM1559907,primary hepatocellular carcinoma,HCC
GSM1559908,primary hepatocellular carcinoma,HCC
GSM1559909,non-tumor cirrhosis,Cirrhosis
GSM1559910,primary hepatocellular carcinoma,HCC
GSM1559911,non-tumor cirrhosis,Cirrhosis
GSM1559912,primary hepatocellular carcinoma,HCC
GSM1559913,non-tumor cirrhosis,Cirrhosis
GSM1559914,primary hepatocellular carcinoma,HCC
GSM1559915,primary hepatocellular carcinoma,HCC
GSM1559916,non-tumor cirrhosis,Cirrhosis
GSM1559917,primary hepatocellular carcinoma,HCC
GSM1559918,non-tumor cirrhosis,Cirrhosis
GSM1559919,primary hepatocellular carcinoma,HCC
GSM1559920,primary hepatocellular carcinoma,HCC
GSM1559921,non-tumor cirrhosis,Cirrhosis
GSM1559922,primary hepatocellular carcinoma,HCC
GSM1559923,non-tumor cirrhosis,Cirrhosis
GSM1559924,primary hepatocellular carcinoma,HCC
GSM1559925,primary hepatocellular carcinoma,HCC
GSM1559926,non-tumor cirrhosis,Cirrhosis
GSM1559927,primary hepatocellular carcinoma,HCC
GSM1559928,primary hepatocellular carcinoma,HCC
GSM1559929,non-tumor cirrhosis,Cirrhosis
GSM1559930,primary hepatocellular carcinoma,HCC
GSM1559931,non-tumor cirrhosis,Cirrhosis
GSM1559932,primary hepatocellular carcinoma,HCC
GSM1559933,non-tumor cirrhosis,Cirrhosis
GSM1559934,primary hepatocellular carcinoma,HCC
GSM1559935,non-tumor cirrhosis,Cirrhosis
GSM1559936,primary hepatocellular carcinoma,HCC
GSM1559937,non-tumor cirrhosis,Cirrhosis
GSM1559938,primary hepatocellular carcinoma,HCC
GSM1559939,primary hepatocellular carcinoma,HCC
GSM1559940,primary hepatocellular carcinoma,HCC
GSM1559941,non-tumor cirrhosis,Cirrhosis
GSM1559942,primary hepatocellular carcinoma,HCC
GSM1559943,non-tumor cirrhosis,Cirrhosis
GSM1559944,primary hepatocellular carcinoma,HCC
GSM1559945,primary hepatocellular carcinoma,HCC
GSM1559946,non-tumor cirrhosis,Cirrhosis
GSM1559947,primary hepatocellular carcinoma,HCC
GSM1559948,primary hepatocellular carcinoma,HCC
GSM1559949,non-tumor cirrhosis,Cirrhosis
GSM1559950,primary hepatocellular carcinoma,HCC
GSM1559951,non-tumor cirrhosis,Cirrhosis
GSM1559952,primary hepatocellular carcinoma,HCC
GSM1559953,non-tumor cirrhosis,Cirrhosis
GSM1559954,primary hepatocellular carcinoma,HCC
GSM1559955,primary hepatocellular carcinoma,HCC
GSM1559956,non-tumor cirrhosis,Cirrhosis
GSM1559957,primary hepatocellular carcinoma,HCC
GSM1559958,primary hepatocellular carcinoma,HCC
GSM1559959,primary hepatocellular carcinoma,HCC
GSM1559960,non-tumor cirrhosis,Cirrhosis
GSM1559961,primary hepatocellular carcinoma,HCC
GSM1559962,primary hepatocellular carcinoma,HCC
GSM1559963,non-tumor cirrhosis,Cirrhosis
GSM1559964,primary hepatocellular carcinoma,HCC
GSM1559965,non-tumor cirrhosis,Cirrhosis
GSM1559966,primary hepatocellular carcinoma,HCC
GSM1559967,non-tumor cirrhosis,Cirrhosis
GSM1559968,primary hepatocellular carcinoma,HCC
GSM1559969,non-tumor cirrhosis,Cirrhosis
GSM1559970,primary hepatocellular carcinoma,HCC
GSM1559971,non-tumor cirrhosis,Cirrhosis
GSM1559972,primary hepatocellular carcinoma,HCC
GSM1559973,primary hepatocellular carcinoma,HCC
GSM1559974,non-tumor cirrhosis,Cirrhosis
GSM1559975,primary hepatocellular carcinoma,HCC
GSM1559976,non-tumor cirrhosis,Cirrhosis
GSM1559977,primary hepatocellular carcinoma,HCC
GSM1559978,non-tumor cirrhosis,Cirrhosis
GSM1559979,primary hepatocellular carcinoma,HCC
GSM1559980,primary hepatocellular carcinoma,HCC
GSM1559981,non-tumor cirrhosis,Cirrhosis
GSM1559982,primary hepatocellular carcinoma,HCC
GSM1559983,non-tumor cirrhosis,Cirrhosis
GSM1559984,primary hepatocellular carcinoma,HCC
GSM1559985,non-tumor cirrhosis,Cirrhosis
GSM1559986,primary hepatocellular carcinoma,HCC
GSM1559987,non-tumor cirrhosis,Cirrhosis
GSM1559988,primary hepatocellular carcinoma,HCC
GSM1559989,non-tumor cirrhosis,Cirrhosis
GSM1559990,primary hepatocellular carcinoma,HCC
GSM1559991,non-tumor cirrhosis,Cirrhosis
GSM1559992,primary hepatocellular carcinoma,HCC
GSM1559993,non-tumor cirrhosis,Cirrhosis
GSM1559994,primary hepatocellular carcinoma,HCC
GSM1559995,non-tumor cirrhosis,Cirrhosis
GSM1559996,primary hepatocellular carcinoma,HCC
GSM1559997,non-tumor cirrhosis,Cirrhosis
GSM1559998,primary hepatocellular carcinoma,HCC
GSM1559999,primary hepatocellular carcinoma,HCC
GSM1560000,non-tumor cirrhosis,Cirrhosis
