geo_accession,source_name_ch1,Phenotype
GSM1100424,human HCC sample from elder patient,Elder HCC
GSM1100425,human HCC sample from young patient,Young HCC
GSM1100426,human HCC sample from young patient,Young HCC
GSM1100427,human HCC sample from young patient,Young HCC
GSM1100428,human HCC sample from young patient,Young HCC
GSM1100429,human HCC sample from young patient,Young HCC
GSM1100430,human HCC sample from young patient,Young HCC
GSM1100431,human normal liver sample from young HCC patient,Young Normal
GSM1100432,human normal liver sample from young HCC patient,Young Normal
GSM1100433,human normal liver sample from young HCC patient,Young Normal
GSM1100434,human normal liver sample from young HCC patient,Young Normal
GSM1100435,human normal liver sample from young HCC patient,Young Normal
GSM1100436,human normal liver sample from young HCC patient,Young Normal
GSM1100437,human normal liver sample from young HCC patient,Young Normal
GSM1100438,human normal liver sample from young HCC patient,Young Normal
GSM1100439,human normal liver sample from young HCC patient,Young Normal
GSM1100440,human normal liver sample from young HCC patient,Young Normal
GSM1100441,human normal liver sample from young HCC patient,Young Normal
GSM1100442,human normal liver sample from young HCC patient,Young Normal
GSM1100443,human normal liver sample from young HCC patient,Young Normal
GSM1100444,human normal liver sample from young HCC patient,Young Normal
GSM1100445,human normal liver sample from young HCC patient,Young Normal
GSM1100446,human normal liver sample from young HCC patient,Young Normal
GSM1100447,human normal liver sample from young HCC patient,Young Normal
GSM1100448,human HCC sample from young patient,Young HCC
GSM1100449,human HCC sample from young patient,Young HCC
GSM1100450,human HCC sample from young patient,Young HCC
GSM1100451,human HCC sample from young patient,Young HCC
GSM1100452,human HCC sample from young patient,Young HCC
GSM1100453,human HCC sample from young patient,Young HCC
GSM1100454,human HCC sample from young patient,Young HCC
GSM1100455,human HCC sample from young patient,Young HCC
GSM1100456,human HCC sample from young patient,Young HCC
GSM1104153,"Human, Hepatocellular carcinoma",HCC
GSM1104154,"Human, Hepatocellular carcinoma",HCC
GSM1104155,"Human, Hepatocellular carcinoma",HCC
GSM1104156,"Human, Hepatocellular carcinoma",HCC
GSM1104157,"Human, Hepatocellular carcinoma",HCC
GSM1104158,"Human, Hepatocellular carcinoma",HCC
GSM1104159,"Human, Hepatocellular carcinoma",HCC
GSM1104160,"Human, Hepatocellular carcinoma",HCC
GSM1104161,"Human, Hepatocellular carcinoma",HCC
GSM1104162,"Human, Hepatocellular carcinoma",HCC
GSM1104163,"Human, Hepatocellular carcinoma",HCC
GSM1104164,"Human, Hepatocellular carcinoma",HCC
GSM1104165,"Human, Hepatocellular carcinoma",HCC
GSM1104166,"Human, Hepatocellular carcinoma",HCC
GSM1104167,"Human, Hepatocellular carcinoma",HCC
GSM1104168,"Human, Hepatocellular carcinoma",HCC
GSM1104169,"Human, Hepatocellular carcinoma",HCC
GSM1104170,"Human, Hepatocellular carcinoma",HCC
GSM1104171,"Human, Hepatocellular carcinoma",HCC
GSM1104172,"Human, Hepatocellular carcinoma",HCC
GSM1104173,"Human, Hepatocellular carcinoma",HCC
GSM1104174,"Human, Hepatocellular carcinoma",HCC
GSM1104175,"Human, Hepatocellular carcinoma",HCC
GSM1104176,"Human, Hepatocellular carcinoma",HCC
GSM1104177,"Human, Hepatocellular carcinoma",HCC
GSM1104178,"Human, Hepatocellular carcinoma",HCC
GSM1104179,"Human, Hepatocellular carcinoma",HCC
GSM1104180,"Human, Hepatocellular carcinoma",HCC
GSM1104181,"Human, Hepatocellular carcinoma",HCC
GSM1104182,"Human, Hepatocellular carcinoma",HCC
GSM1104183,"Human, Hepatocellular carcinoma",HCC
GSM1104184,"Human, Hepatocellular carcinoma",HCC
GSM1104185,"Human, Hepatocellular carcinoma",HCC
GSM1104186,"Human, Hepatocellular carcinoma",HCC
GSM1104187,"Human, Hepatocellular carcinoma",HCC
GSM1104188,"Human, Hepatocellular carcinoma",HCC
GSM1104189,"Human, Hepatocellular carcinoma",HCC
GSM1104190,"Human, Hepatocellular carcinoma",HCC
GSM1104191,"Human, Hepatocellular carcinoma",HCC
GSM1104192,"Human, Hepatocellular carcinoma",HCC
GSM1104193,"Human, Hepatocellular carcinoma",HCC
GSM1104194,"Human, Hepatocellular carcinoma",HCC
GSM1104195,"Human, Hepatocellular carcinoma",HCC
GSM1104196,"Human, Hepatocellular carcinoma",HCC
GSM1104197,"Human, Hepatocellular carcinoma",HCC
GSM1104198,"Human, Hepatocellular carcinoma",HCC
GSM1104199,"Human, Hepatocellular carcinoma",HCC
